age,gender,cost,impressions,cpm,clicks_destination,cpc_destination,ctr_destination,total_landing_page_view_tiktok,cost_per_landing_page_view_tiktok,landing_page_view_rate_tiktok,currency
18-24,Male,1506.07,399888,3.77,6018,0.25,1.5,0,0,0,USD
25-34,Male,896.73,266682,3.36,4004,0.22,1.5,0,0,0,USD
35-44,Male,695.15,223965,3.1,3536,0.2,1.58,0,0,0,USD
45-54,Male,501.79,157839,3.18,2615,0.19,1.66,0,0,0,USD
18-24,Female,228.81,56409,4.06,941,0.24,1.67,0,0,0,USD
≥55,Male,208.93,59907,3.49,991,0.21,1.65,0,0,0,USD
45-54,Female,82.2,34132,2.41,454,0.18,1.33,0,0,0,USD
25-34,Female,76.02,15357,4.95,285,0.27,1.86,0,0,0,USD
35-44,Female,66.58,23914,2.78,360,0.18,1.51,0,0,0,USD
≥55,Female,25.6,7950,3.22,120,0.21,1.51,0,0,0,USD
18-24,Unknown,23.35,6944,3.36,108,0.22,1.56,0,0,0,USD
25-34,Unknown,14.83,3838,3.86,86,0.17,2.24,0,0,0,USD
≥55,Unknown,5.63,1661,3.39,24,0.23,1.44,0,0,0,USD
35-44,Unknown,4.69,1570,2.99,27,0.17,1.72,0,0,0,USD
45-54,Unknown,1.86,722,2.58,13,0.14,1.8,0,0,0,USD
Unknown,Unknown,1.67,162,10.31,4,0.42,2.47,0,0,0,USD
Total of 16 results,-,4339.91,1260940,3.44,19586,0.22,1.55,0,0,0,USD
