date,views_day__primary,views_day__row_count
2025-06-26,2894,1
2025-06-27,6407,1
2025-06-28,2206,1
2025-06-29,3687,1
2025-06-30,5086,1
2025-07-01,8076,1
2025-07-02,15364,1
2025-07-03,20910,1
2025-07-04,25148,1
2025-07-05,16734,1
2025-07-06,51144,1
2025-07-07,61235,1
2025-07-08,54592,1
2025-07-09,141097,1
2025-07-10,130236,1
2025-07-11,137406,1
2025-07-12,143284,1
2025-07-13,167043,1
2025-07-14,128261,1
2025-07-15,127884,1
2025-07-16,128319,1
2025-07-17,144685,1
2025-07-18,162081,1
2025-07-19,140841,1
2025-07-20,155505,1
2025-07-21,164539,1
2025-07-22,189075,1
2025-07-23,338080,1
2025-07-24,269450,1
2025-07-25,224133,1
2025-07-26,176871,1
2025-07-27,184464,1
2025-07-28,175187,1
2025-07-29,165940,1
2025-07-30,173761,1
2025-07-31,134297,1
2025-08-01,182750,1
2025-08-02,155038,1
2025-08-03,178167,1
2025-08-04,151959,1
2025-08-05,183198,1
2025-08-06,128904,1
2025-08-07,133278,1
2025-08-08,143287,1
2025-08-09,159830,1
2025-08-10,140740,1
2025-08-11,132867,1
2025-08-12,140712,1
2025-08-13,175600,1
2025-08-14,126336,1
2025-08-15,101945,1
2025-08-16,250397,1
2025-08-17,342720,1
2025-08-18,285554,1
2025-08-19,308880,1
2025-08-20,322060,1
2025-08-21,274606,1
2025-08-22,237126,1
2025-08-23,230401,1
2025-08-24,198245,1
2025-08-25,151365,1
2025-08-26,146949,1
2025-08-27,158035,1
2025-08-28,152383,1
2025-08-29,152603,1
2025-08-30,163130,1
2025-08-31,183247,1
2025-09-01,161376,1
2025-09-02,136184,1
2025-09-03,159641,1
2025-09-04,179153,1
2025-09-05,171631,1
2025-09-06,230797,1
2025-09-07,204408,1
2025-09-08,284431,1
2025-09-09,237651,1
2025-09-10,182463,1
2025-09-11,165081,1
2025-09-12,284969,1
2025-09-13,196014,1
2025-09-14,215522,1
2025-09-15,191925,1
2025-09-16,145570,1
2025-09-17,129105,1
2025-09-18,118171,1
2025-09-19,121878,1
2025-09-20,136357,1
2025-09-21,163014,1
2025-09-22,166541,1
2025-09-23,167765,1
